year,asset_class,commitment,drawdown,distribution,net
2021,PE,800,480,60,420
2021,PD,500,380,30,350
2021,부동산,500,470,40,430
2021,인프라,400,170,20,150
2022,PE,900,620,200,420
2022,PD,600,420,80,340
2022,부동산,500,430,50,380
2022,인프라,500,230,20,210
2023,PE,1000,680,250,430
2023,PD,800,500,120,380
2023,부동산,600,430,100,330
2023,인프라,600,290,30,260
2024,PE,1100,750,450,300
2024,PD,900,750,220,530
2024,부동산,500,450,150,300
2024,인프라,700,350,80,270
2025,PE,1200,900,600,300
2025,PD,1000,800,330,470
2025,부동산,500,500,180,320
2025,인프라,800,500,90,410
2026,PE,1400,1000,900,100
2026,PD,1200,850,550,300
2026,부동산,500,450,300,150
2026,인프라,900,600,250,350
