date,fund,asset_class,currency,type,amount,local_amount
2018-01-26,설악 바이아웃 1호,사모벤처,USD,약정,160,12.9
2018-02-16,태백 세컨더리 2호,사모벤처,KRW,약정,210,210
2018-03-20,해운대 물류 1호,부동산,KRW,약정,200,200
2018-04-05,해운대 물류 1호,부동산,KRW,집행,9,9
2018-04-06,설악 바이아웃 1호,사모벤처,USD,집행,5,0.4
2018-04-11,태백 세컨더리 2호,사모벤처,KRW,집행,9,9
2018-05-16,태백 세컨더리 2호,사모벤처,KRW,집행,6,6
2018-06-21,해운대 물류 1호,부동산,KRW,집행,16,16
2018-07-14,판교 코어플러스 2호,부동산,USD,약정,200,16.7
2018-07-15,해운대 물류 1호,부동산,KRW,집행,11,11
2018-08-04,판교 코어플러스 2호,부동산,USD,집행,10,0.8
2018-08-21,태백 세컨더리 2호,사모벤처,KRW,집행,11,11
2018-09-08,태백 세컨더리 2호,사모벤처,KRW,집행,6,6
2018-09-18,서해 에너지 1호,인프라,EUR,약정,160,12.2
2018-09-21,백두 벤처 3호,사모벤처,KRW,약정,210,210
2018-10-03,설악 바이아웃 1호,사모벤처,USD,집행,7,0.6
2018-11-04,영남 교통 2호,인프라,USD,약정,140,11.2
2018-11-08,백두 벤처 3호,사모벤처,KRW,집행,5,5
2018-11-08,태백 세컨더리 2호,사모벤처,KRW,집행,13,13
2018-11-17,판교 코어플러스 2호,부동산,USD,집행,30,2.4
2018-12-03,한라 메자닌 4호,사모벤처,USD,약정,220,17.8
2018-12-10,백두 벤처 3호,사모벤처,KRW,집행,5,5
2019-01-07,백두 벤처 3호,사모벤처,KRW,집행,5,5
2019-01-07,해운대 물류 1호,부동산,KRW,집행,55,55
2019-01-10,지리 미드캡 5호,사모벤처,KRW,약정,250,250
2019-01-12,태백 세컨더리 2호,사모벤처,KRW,집행,12,12
2019-01-13,판교 코어플러스 2호,부동산,USD,집행,20,1.6
2019-02-09,백두 벤처 3호,사모벤처,KRW,집행,6,6
2019-02-09,판교 코어플러스 2호,부동산,USD,집행,9,0.7
2019-02-14,한라 메자닌 4호,사모벤처,USD,집행,10,0.8
2019-02-17,서해 에너지 1호,인프라,EUR,집행,13,1.0
2019-02-18,오대 스페셜시츄에이션 6호,사모벤처,KRW,약정,220,220
2019-02-18,해운대 물류 1호,부동산,KRW,집행,8,8
